                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.80833,                 1.0604,                 1.1972,                  0.692,                0.61487,                0.67583,                0.56306,                0.68725,                 1.1527,                 1.1847,             0.00046027,             0.00046027,             0.00046027
                     57,                0.80104,                 1.0482,                 1.1933,                0.68907,                0.61825,                 0.6766,                0.56368,                0.68657,                  1.151,                 1.1844,             0.00045027,             0.00045027,             0.00045027
                     58,                0.79921,                 1.0383,                 1.1908,                0.69142,                0.61906,                0.67704,                0.56413,                0.68558,                 1.1487,                 1.1833,             0.00044028,             0.00044028,             0.00044028
                     59,                0.80275,                 1.0406,                  1.189,                0.68755,                 0.6224,                0.67713,                0.56481,                0.68487,                 1.1482,                 1.1829,             0.00043029,             0.00043029,             0.00043029
                     60,                0.79977,                 1.0256,                 1.1889,                0.69947,                0.61709,                0.67683,                0.56547,                0.68437,                 1.1451,                 1.1827,             0.00042029,             0.00042029,             0.00042029
                     61,                0.79568,                 1.0145,                 1.1869,                  0.698,                0.61829,                0.67685,                 0.5659,                0.68428,                 1.1432,                 1.1825,              0.0004103,              0.0004103,              0.0004103
                     62,                0.78815,                 1.0123,                 1.1829,                0.69044,                0.62185,                0.67702,                0.56604,                0.68379,                 1.1405,                 1.1823,              0.0004003,              0.0004003,              0.0004003
                     63,                0.79645,                 1.0068,                 1.1853,                0.68613,                0.62409,                0.67759,                 0.5656,                0.68286,                 1.1392,                 1.1814,             0.00039031,             0.00039031,             0.00039031
                     64,                 0.7868,                 1.0022,                 1.1821,                0.68442,                0.62465,                0.67779,                0.56619,                0.68165,                 1.1368,                 1.1806,             0.00038031,             0.00038031,             0.00038031
                     65,                0.78806,                0.98671,                 1.1804,                0.68686,                0.62472,                 0.6779,                0.56667,                0.68098,                 1.1354,                   1.18,             0.00037032,             0.00037032,             0.00037032
                     66,                0.78299,                0.98322,                 1.1811,                0.68758,                  0.625,                0.67878,                0.56769,                0.68035,                 1.1332,                 1.1794,             0.00036032,             0.00036032,             0.00036032
                     67,                0.78327,                0.97712,                 1.1821,                0.68512,                0.62499,                0.67885,                0.56838,                0.67944,                 1.1325,                 1.1783,             0.00035033,             0.00035033,             0.00035033
                     68,                0.77692,                0.96495,                 1.1739,                0.68692,                0.62589,                0.67954,                0.56877,                0.67922,                 1.1319,                 1.1776,             0.00034033,             0.00034033,             0.00034033
                     69,                0.78003,                0.95938,                 1.1758,                0.68446,                0.63053,                0.68015,                0.56935,                 0.6792,                  1.131,                 1.1775,             0.00033034,             0.00033034,             0.00033034
                     70,                 0.7756,                0.95503,                 1.1731,                0.68579,                0.63056,                0.68065,                0.57011,                0.67856,                 1.1301,                 1.1768,             0.00032034,             0.00032034,             0.00032034
                     71,                0.76907,                0.94662,                 1.1725,                0.68484,                0.63344,                0.68111,                0.57083,                 0.6783,                 1.1291,                 1.1768,             0.00031035,             0.00031035,             0.00031035
                     72,                 0.7657,                0.93934,                 1.1679,                0.68799,                  0.632,                0.68135,                 0.5713,                0.67801,                 1.1279,                 1.1766,             0.00030035,             0.00030035,             0.00030035
                     73,                0.76869,                0.92929,                 1.1675,                0.68598,                0.63573,                0.68173,                0.57206,                0.67746,                 1.1261,                  1.176,             0.00029036,             0.00029036,             0.00029036
                     74,                0.76521,                 0.9274,                 1.1665,                 0.6874,                0.63618,                0.68208,                0.57279,                 0.6766,                  1.125,                 1.1752,             0.00028036,             0.00028036,             0.00028036
                     75,                0.76138,                0.92238,                 1.1641,                0.69001,                0.63604,                0.68211,                0.57331,                0.67569,                 1.1234,                 1.1742,             0.00027037,             0.00027037,             0.00027037
                     76,                0.75532,                0.90603,                 1.1601,                0.68666,                0.63985,                0.68241,                0.57389,                  0.675,                 1.1218,                 1.1735,             0.00026037,             0.00026037,             0.00026037
                     77,                0.75319,                0.90461,                  1.162,                0.67472,                0.64063,                0.68329,                0.57476,                 0.6747,                 1.1199,                  1.173,             0.00025038,             0.00025038,             0.00025038
                     78,                0.75706,                0.89592,                 1.1589,                0.69075,                0.63236,                0.68326,                0.57512,                 0.6745,                 1.1189,                 1.1726,             0.00024038,             0.00024038,             0.00024038
                     79,                0.74919,                0.88155,                 1.1543,                0.67788,                0.63407,                0.68381,                0.57584,                0.67452,                 1.1178,                 1.1724,             0.00023039,             0.00023039,             0.00023039
                     80,                0.75036,                0.88385,                 1.1532,                0.67225,                0.64141,                0.68379,                0.57612,                0.67446,                 1.1163,                 1.1724,             0.00022039,             0.00022039,             0.00022039
                     81,                0.74438,                0.87897,                 1.1556,                0.67818,                0.62795,                0.68414,                0.57647,                0.67462,                  1.115,                 1.1722,             0.00021039,             0.00021039,             0.00021039
                     82,                 0.7474,                0.86787,                 1.1523,                0.69283,                 0.6269,                0.68421,                0.57662,                0.67404,                 1.1142,                 1.1714,              0.0002004,              0.0002004,              0.0002004
                     83,                0.75023,                0.86295,                 1.1554,                0.70201,                 0.6218,                0.68432,                0.57712,                0.67425,                 1.1139,                 1.1716,              0.0001904,              0.0001904,              0.0001904
                     84,                0.74548,                0.85027,                 1.1487,                 0.6998,                0.62355,                0.68466,                0.57749,                0.67462,                 1.1136,                 1.1718,             0.00018041,             0.00018041,             0.00018041
                     85,                0.73176,                0.84621,                 1.1444,                0.69997,                 0.6233,                0.68506,                 0.5774,                0.67447,                 1.1128,                 1.1712,             0.00017042,             0.00017042,             0.00017042
                     86,                0.72944,                0.83783,                 1.1453,                 0.6878,                0.62675,                0.68498,                0.57758,                0.67417,                  1.112,                  1.171,             0.00016042,             0.00016042,             0.00016042
                     87,                0.73179,                0.82924,                  1.143,                0.67795,                0.63473,                 0.6856,                0.57809,                0.67478,                 1.1105,                 1.1714,             0.00015043,             0.00015043,             0.00015043
                     88,                0.73045,                0.84038,                 1.1455,                0.67862,                0.63469,                0.68622,                0.57865,                0.67433,                 1.1093,                 1.1708,             0.00014043,             0.00014043,             0.00014043
                     89,                0.73255,                0.81852,                 1.1414,                0.69629,                0.62247,                0.68657,                0.57945,                0.67472,                 1.1076,                 1.1709,             0.00013044,             0.00013044,             0.00013044
                     90,                0.72152,                0.81364,                 1.1413,                0.71519,                0.61849,                0.68667,                0.57921,                0.67481,                 1.1064,                  1.171,             0.00012044,             0.00012044,             0.00012044
                     91,                0.62118,                0.54283,                 1.0808,                0.72033,                 0.6151,                0.68723,                0.57983,                0.67394,                 1.1052,                 1.1702,             0.00011044,             0.00011044,             0.00011044
                     92,                0.60813,                0.50268,                 1.0717,                0.72154,                0.61328,                0.68708,                0.58042,                0.67296,                 1.1029,                 1.1692,             0.00010045,             0.00010045,             0.00010045
                     93,                0.59988,                0.49058,                  1.062,                0.68387,                0.63346,                0.68709,                0.58057,                 0.6724,                 1.1017,                 1.1687,             9.0455e-05,             9.0455e-05,             9.0455e-05
                     94,                0.59039,                0.47157,                 1.0574,                0.68724,                0.63004,                0.68725,                0.58089,                0.67144,                 1.1001,                 1.1679,              8.046e-05,              8.046e-05,              8.046e-05
                     95,                0.58634,                0.45837,                 1.0548,                0.68297,                0.63255,                0.68809,                0.58178,                0.67056,                 1.0976,                  1.167,             7.0465e-05,             7.0465e-05,             7.0465e-05
                     96,                0.58086,                0.45128,                 1.0503,                0.68211,                0.63383,                0.68828,                0.58221,                0.67032,                  1.096,                 1.1669,              6.047e-05,              6.047e-05,              6.047e-05
                     97,                0.57915,                0.44392,                  1.049,                0.68336,                0.63396,                0.68891,                0.58257,                0.66957,                 1.0952,                 1.1661,             5.0475e-05,             5.0475e-05,             5.0475e-05
                     98,                0.57448,                0.43541,                 1.0472,                0.69115,                0.62847,                0.68861,                0.58306,                0.66906,                 1.0953,                 1.1656,              4.048e-05,              4.048e-05,              4.048e-05
                     99,                 0.5697,                0.43055,                 1.0425,                0.69411,                0.62698,                0.68862,                0.58372,                0.66845,                  1.094,                 1.1651,             3.0485e-05,             3.0485e-05,             3.0485e-05
                    100,                0.56594,                0.42306,                 1.0385,                0.69476,                0.62745,                  0.689,                0.58382,                0.66821,                 1.0932,                 1.1649,              2.049e-05,              2.049e-05,              2.049e-05
